n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
500,0.1,4,500014,0.0699384264452679,0.12359874998219311,2025-10-08 18:00:01
500,0.1,2,500012,0.13091312057807686,0.17412212496856228,2025-10-08 18:00:02
500,0.1,6,500016,0.12683468585431074,0.1596667499979958,2025-10-08 18:00:02
500,0.1,5,500015,0.10285532822356547,0.17530733300372958,2025-10-08 18:00:02
500,0.1,7,500017,0.03784337054613006,0.1796551249572076,2025-10-08 18:00:02
500,0.1,3,500013,0.08724917221298453,0.21815987495938316,2025-10-08 18:00:02
500,0.1,8,500018,0.07460372645304975,0.17537683399859816,2025-10-08 18:00:02
500,0.1,10,500020,0.10859642574352121,0.16680691699730232,2025-10-08 18:00:02
500,0.1,9,500019,0.06830928863287372,0.20858425000915304,2025-10-08 18:00:02
500,0.1,12,500022,0.06510263476569314,0.1687975840177387,2025-10-08 18:00:02
500,0.1,11,500021,0.07314677032172155,0.21059149998473004,2025-10-08 18:00:02
500,0.1,14,500024,0.17844218343409113,0.1626592919928953,2025-10-08 18:00:02
500,0.1,15,500025,0.11340122235792977,0.16675762500381097,2025-10-08 18:00:02
500,0.1,13,500023,0.05039927948374682,0.20575529197230935,2025-10-08 18:00:02
500,0.1,17,500027,0.13094628348278714,0.10391858400544152,2025-10-08 18:00:02
500,0.1,16,500026,0.10483078484901816,0.13273941597435623,2025-10-08 18:00:02
500,0.1,19,500029,0.05231969942443125,0.13754208298632875,2025-10-08 18:00:02
500,0.1,18,500028,0.09720085836535276,0.1689941660151817,2025-10-08 18:00:02
500,0.2,0,500020,0.036123536218816255,0.22508733300492167,2025-10-08 18:00:08
500,0.2,2,500022,0.013092710518898407,0.20461004198295996,2025-10-08 18:00:08
500,0.2,4,500024,0.0477383250190177,0.13785195798845962,2025-10-08 18:00:08
500,0.2,3,500023,0.029750601244415347,0.20759966695914045,2025-10-08 18:00:08
500,0.2,1,500021,0.016741160138169224,0.30829616700066254,2025-10-08 18:00:08
500,0.2,5,500025,0.017854981814674875,0.2500626670080237,2025-10-08 18:00:08
500,0.2,6,500026,0.03482584493522947,0.25177508301567286,2025-10-08 18:00:08
500,0.2,7,500027,0.047354471676834826,0.24992858298355713,2025-10-08 18:00:08
500,0.2,9,500029,0.042409805298559276,0.2621572079951875,2025-10-08 18:00:08
500,0.2,8,500028,0.012936583957486139,0.3231282079941593,2025-10-08 18:00:08
500,0.2,10,500030,0.06842398705850238,0.2869620830169879,2025-10-08 18:00:08
500,0.2,11,500031,0.03214203560178859,0.25044520798837766,2025-10-08 18:00:08
500,0.2,12,500032,0.06200135057800023,0.2948418750311248,2025-10-08 18:00:08
500,0.2,14,500034,0.07965807507838576,0.25692687497939914,2025-10-08 18:00:08
500,0.2,17,500037,0.02810704730935052,0.1575260419631377,2025-10-08 18:00:08
500,0.2,13,500033,0.053800699728206454,0.2703590000164695,2025-10-08 18:00:08
500,0.2,15,500035,0.01715979331995568,0.21918491699034348,2025-10-08 18:00:08
500,0.2,18,500038,0.03073788284940064,0.17156095802783966,2025-10-08 18:00:08
500,0.2,16,500036,0.021191290421079808,0.20247295900480822,2025-10-08 18:00:08
500,0.2,19,500039,0.04481330594158071,0.14156175003154203,2025-10-08 18:00:08
500,0.5,0,500050,0.004363268724268637,0.26384879200486466,2025-10-08 18:00:14
500,0.5,1,500051,0.005352301947449127,0.1444623749703169,2025-10-08 18:00:14
500,0.5,3,500053,0.0034540882337414035,0.15407916600815952,2025-10-08 18:00:15
500,0.5,2,500052,0.0036540029778317096,0.21760462503880262,2025-10-08 18:00:15
500,0.5,5,500055,0.010467261126248774,0.2036780830239877,2025-10-08 18:00:15
500,0.5,7,500057,0.003222073019001683,0.20835008303401992,2025-10-08 18:00:15
500,0.5,6,500056,0.012742031243212583,0.22167366702342406,2025-10-08 18:00:15
500,0.5,4,500054,0.011512808149919848,0.25507287500659004,2025-10-08 18:00:15
500,0.5,9,500059,0.008349415142359564,0.2075470419949852,2025-10-08 18:00:15
500,0.5,10,500060,0.00633078720670071,0.19805474998429418,2025-10-08 18:00:15
500,0.5,8,500058,0.0020467919477124147,0.25240766699425876,2025-10-08 18:00:15
500,0.5,11,500061,0.012326519455810182,0.2137748749810271,2025-10-08 18:00:15
500,0.5,12,500062,0.008067856830792287,0.15052012499654666,2025-10-08 18:00:15
500,0.5,16,500066,0.006008513461433204,0.20501220901496708,2025-10-08 18:00:15
500,0.5,13,500063,0.006928830217315507,0.2536863330169581,2025-10-08 18:00:15
500,0.5,15,500065,0.00589389466709867,0.24443808302748948,2025-10-08 18:00:15
500,0.5,14,500064,0.0021019045794073298,0.2562775000114925,2025-10-08 18:00:15
500,0.5,17,500067,0.004767420323902744,0.2256825829972513,2025-10-08 18:00:15
500,0.5,18,500068,0.004231762825845787,0.22123199998168275,2025-10-08 18:00:15
500,0.5,19,500069,0.005539786713528482,0.20398395898519084,2025-10-08 18:00:15
500,1.0,0,500100,0.0016055130272164785,0.26094645803095773,2025-10-08 18:00:22
500,1.0,1,500101,0.0012181786299594085,0.16277920897118747,2025-10-08 18:00:22
500,1.0,5,500105,0.0011584009644134438,0.10036358295474201,2025-10-08 18:00:22
500,1.0,2,500102,0.0016089803048517587,0.19531758403172716,2025-10-08 18:00:22
500,1.0,3,500103,0.0028163324462592903,0.19714475004002452,2025-10-08 18:00:22
500,1.0,4,500104,0.0011588535922225749,0.2464579999796115,2025-10-08 18:00:22
500,1.0,9,500109,0.002119486824127477,0.1127587910159491,2025-10-08 18:00:22
500,1.0,6,500106,0.002550091140028062,0.19806462503038347,2025-10-08 18:00:22
